passion.ru,utf-8,utf-8,utf_8
passportnews.co.il,,ascii,ascii
pastemagazine.com,,ascii,ascii
pasttenses.com,UTF-8,ISO-8859-1,utf_8
pasveik.lt,UTF-8,utf-8,utf_8
patakis.gr,utf-8,utf-8,utf_8
patarimupasaulis.lt,utf-8,utf-8,utf_8
patasdacasa.com.br,utf-8,utf-8,utf_8
patbat.com,UTF-8,utf-8,utf_8
patch.com,utf-8,utf-8,utf_8
patee.ru,utf-8,,utf_8
patentati.it,utf-8,ascii,ascii
pathe.nl,utf-8,utf-8,utf_8
pathee.com,utf-8,utf-8,utf_8
patient.info,utf-8,utf-8,utf_8
patika24.hu,UTF-8,utf-8,utf_8
patilanci.bg,UTF-8,utf-8,utf_8
patiotuerca.com,,utf-8,utf_8
patirti.com,utf-8,utf-8,utf_8
patogupirkti.lt,UTF-8,utf-8,utf_8
patpat.lk,UTF-8,utf-8,utf_8
patrasevents.gr,utf-8,utf-8,utf_8
patria.cz,utf-8,utf-8,utf_8
patricedebruxelles.com,utf-8,ascii,big5
patricinhaesperta.com.br,UTF-8,Windows-1254,utf_8
patrika.com,UTF-8,utf-8,utf_8
patrimoniocultural.gov.pt,utf-8,utf-8,utf_8
patris.gr,UTF-8,utf-8,utf_8
patrisnews.com,UTF-8,utf-8,utf_8
patronlardunyasi.com,,utf-8,utf_8
patuah.co.il,UTF-8,utf-8,utf_8
pau.edu.tr,utf-8,utf-8,utf_8
paulinacocina.net,UTF-8,utf-8,utf_8
paultan.org,UTF-8,utf-8,utf_8
pauta.cl,utf-8,utf-8,utf_8
pauza.hr,UTF-8,utf-8,
pavb.lt,UTF-8,utf-8,utf_8
pavilosta.lv,utf-8,utf-8,utf_8
paxinasgalegas.es,utf-8,utf-8,utf_8
payngo.co.il,UTF-8,utf-8,utf_8
payot.ch,utf-8,utf-8,utf_8
paypay.ne.jp,utf-8,utf-8,utf_8
paysandu.gub.uy,UTF-8,utf-8,utf_8
payscale.com,UTF-8,utf-8,utf_8
paysera.com,UTF-8,utf-8,utf_8
paytm.com,utf-8,utf-8,utf_8
paytmmall.com,utf-8,utf-8,utf_8
pazarlamasyon.com,UTF-8,utf-8,utf_8
pazarluk.com,UTF-8,ascii,ascii
pazaruvai-lesno.bg,UTF-8,utf-8,utf_8
pazaruvaj.com,utf-8,utf-8,utf_8
