irishexaminer.com,utf-8,utf-8,utf_8
irishjobs.ie,utf-8,utf-8,utf_8
irishmirror.ie,,ascii,ascii
irishnews.com,utf-8,utf-8,utf_8
irishpages.ie,UTF-8,ISO-8859-1,utf_8
irishpost.com,UTF-8,utf-8,
irishtimes.com,utf-8,utf-8,utf_8
irishtourist.com,UTF-8,utf-8,utf_8
irkobl.ru,UTF-8,utf-8,utf_8
irliepaja.lv,UTF-8,utf-8,utf_8
irma.dk,utf-8,utf-8,utf_8
ironhorse.ru,utf-8,utf-8,utf_8
irozhlas.cz,,utf-8,utf_8
is.fi,utf-8,utf-8,utf_8
isabellas.dk,utf-8,utf-8,utf_8
isala.nl,utf-8,utf-8,utf_8
isalna.com,utf-8,utf-8,utf_8
isalne.com,UTF-8,utf-8,utf_8
isamveri.org,,UTF-8-SIG,utf_8_sig
isathens.gr,utf-8,utf-8,utf_8
isbank.com.tr,utf-8,utf-8,utf_8
isbran.eu,UTF-8,utf-8,utf_8
isciii.es,utf-8,utf-8,utf_8
iscool.co.il,utf-8,utf-8,utf_8
iscte-iul.pt,utf-8,utf-8,utf_8
isgeschiedenis.nl,utf-8,utf-8,utf_8
ishim.co.il,UTF-8,UTF-8-SIG,utf_8_sig
ishop.rs,UTF-8,utf-8,utf_8
ishopchangi.com,utf-8,Windows-1252,utf_8
ishopping.pk,,ascii,ascii
ising.pl,UTF-8,utf-8,utf_8
isinolsa.com,UTF-8,utf-8,utf_8
isinolsun.com,utf-8,utf-8,utf_8
isitwp.com,UTF-8,utf-8,utf_8
isize.com,UTF-8,utf-8,utf_8
iskambg.com,utf-8,utf-8,utf_8
iskelma.fi,utf-8,utf-8,utf_8
iskon.hr,UTF-8,utf-8,utf_8
iskra.bg,UTF-8,utf-8,utf_8
iskreni.net,UTF-8,utf-8,utf_8
iskur.gov.tr,utf-8,utf-8,utf_8
islam.gov.my,utf-8,utf-8,utf_8
islam4u.com,utf-8,utf-8,utf_8
islamansiklopedisi.org.tr,UTF-8,UTF-8-SIG,utf_8_sig
islamonline.net,UTF-8,utf-8,utf_8
islamport.com,,ISO-8859-9,cp1256
islampos.com,UTF-8,utf-8,utf_8
islamqa.info,UTF-8,utf-8,utf_8
islamveihsan.com,UTF-8,utf-8,utf_8
islamway.net,UTF-8,utf-8,utf_8
islamweb.net,UTF-8,UTF-8-SIG,utf_8_sig
islamweb.org,UTF-8,UTF-8-SIG,utf_8_sig
island.lk,UTF-8,utf-8,utf_8
islcollective.com,utf-8,utf-8,utf_8
ismedia.jp,utf-8,utf-8,utf_8
ismyschool.net,UTF-8,ascii,ascii
isof.se,UTF-8,utf-8,utf_8
isolux.ru,UTF-8,utf-8,utf_8
isong.download,UTF-8,utf-8,utf_8
ispovesti.com,,utf-8,utf_8
isracard.co.il,utf-8,utf-8,utf_8
israelbar.org.il,,windows-1255,cp1255
israeldefense.co.il,UTF-8,ascii,ascii
israelhayom.co.il,utf-8,ascii,ascii
israeli-companies.com,UTF-8,utf-8,utf_8
israelibaby.co.il,UTF-8,utf-8,utf_8
israelpost.co.il,utf-8,utf-8,utf_8
isranews.org,,ascii,ascii
israwords.co.il,UTF-8,utf-8,utf_8
isrotel.co.il,utf-8,utf-8,utf_8
isss.gob.sv,utf-8,utf-8,utf_8
issta.co.il,utf-8,ascii,ascii
issuu.com,utf-8,utf-8,utf_8
istanbul.edu.tr,utf-8,utf-8,utf_8
istanbul.net.tr,utf-8,utf-8,utf_8
istanbulbear.org,iso-8859-1,ascii,ascii
istanbulbogazicioto.com,utf-8,ascii,ascii
istanbulhaber.com.tr,UTF-8,utf-8,utf_8
istanbulsaglik.gov.tr,,ascii,ascii
istegelsin.com,,ascii,ascii
istinomer.rs,UTF-8,utf-8,utf_8
istockphoto.com,utf-8,utf-8,utf_8
istoe.com.br,UTF-8,utf-8,utf_8
istoedinheiro.com.br,UTF-8,utf-8,utf_8
istoric-preturi.info,UTF-8,ascii,ascii
istorijatau.lt,utf-8,utf-8,utf_8
istp.sk,UTF-8,utf-8,utf_8
istra-istria.hr,utf-8,utf-8,utf_8
istra.hr,UTF-8,utf-8,utf_8
istramet.hr,UTF-8,utf-8,utf_8
istriaterramagica.eu,UTF-8,utf-8,utf_8
istruzione.it,UTF-8,utf-8,utf_8
isuta.jp,utf-8,utf-8,utf_8
isynonym.com,,utf-8,utf_8
iszdb.hu,UTF-8,utf-8,utf_8
it24hrs.com,UTF-8,utf-8,utf_8
ita-savo.fi,UTF-8,utf-8,utf_8
itaka.pl,UTF-8,utf-8,utf_8
italiaatavola.net,utf-8,utf-8,utf_8
italiaoggi.it,utf-8,UTF-8-SIG,utf_8_sig
italiarecensioni.com,UTF-8,,utf-8
italki.com,utf-8,utf-8,utf_8
itanu.net,utf-8,ascii,ascii
itaste.com,UTF-8,utf-8,utf_8
itatiaia.com.br,utf-8,utf-8,utf_8
itau.com.br,UTF-8,utf-8,utf_8
itaucultural.org.br,utf-8,utf-8,utf_8
itavisen.no,UTF-8,utf-8,utf_8
itb.ac.id,UTF-8,utf-8,utf_8
itbox.ua,UTF-8,utf-8,utf_8
itbu.ac.id,UTF-8,ISO-8859-1,utf_8
itc.ua,UTF-8,utf-8,utf_8
itcafe.hu,utf-8,utf-8,utf_8
itesco.cz,UTF-8,utf-8,utf_8
itesco.sk,UTF-8,utf-8,utf_8
itesm.mx,,ascii,ascii
iteso.mx,UTF-8,utf-8,utf_8
itewiki.fi,UTF-8,utf-8,utf_8
itgalaxy.ro,UTF-8,ascii,ascii
ithardware.pl,UTF-8,utf-8,utf_8
itiesibas.lv,UTF-8,utf-8,utf_8
itis.si,utf-8,utf-8,utf_8
itk.ee,UTF-8,utf-8,utf_8
itmagazine.ch,windows-1252,ISO-8859-1,cp1250
itmedia.co.jp,,SHIFT_JIS,shift_jis
itopya.com,UTF-8,UTF-8-SIG,
itp.ne.jp,utf-8,utf-8,utf_8
itraveljerusalem.com,,utf-8,utf_8
itrofi.gr,utf-8,utf-8,utf_8
itromso.no,UTF-8,utf-8,utf_8
its.ac.id,UTF-8,Windows-1252,utf_8
itsamademademademadeworld.com,utf-8,ascii,ascii
itsehoitoapteekki.fi,utf-8,utf-8,utf_8
itsk.sk,,utf-8,utf_8
ittefaq.com.bd,UTF-8,ascii,ascii
ittjartam.hu,iso-8859-2,ISO-8859-1,cp1250
ittlakunk.hu,utf-8,utf-8,utf_8
itu.edu.tr,utf-8,utf-8,utf_8
ituudised.ee,utf-8,utf-8,utf_8
itv.com,utf-8,utf-8,utf_8
itweb.co.za,utf-8,utf-8,utf_8
iu.edu.sa,utf-8,utf-8,utf_8
iub.gov.lv,UTF-8,utf-8,utf_8
iugaza.edu.ps,utf-8,utf-8,
iurban.in.th,UTF-8,utf-8,utf_8
iusinfo.hr,utf-8,utf-8,utf_8
iusinfo.si,utf-8,utf-8,utf_8
iuventa.sk,utf-8,utf-8,utf_8
ivd.ru,UTF-8,utf-8,utf_8
ivg.it,UTF-8,utf-8,utf_8
ivi.ru,UTF-8,utf-8,utf_8
ivi.tv,UTF-8,utf-8,utf_8
