003ms.ru,UTF-8,utf-8,utf-8
01.ee,utf-8,utf-8,utf-8
011info.com,UTF-8,utf-8,utf-8
013info.rs,utf-8,utf-8,utf-8
01basma.com,UTF-8,Windows-1254,utf-8
01net.com,utf-8,utf-8,utf-8
01portal.hr,UTF-8,utf-8,
021.rs,UTF-8,utf-8,utf-8
025.rs,UTF-8,utf-8,utf-8
032.ua,UTF-8,utf-8,utf-8
034portal.hr,,utf-8,utf-8
037hdmovie.com,UTF-8,utf-8,utf-8
0404.co.il,UTF-8,utf-8,utf-8
048.ua,UTF-8,utf-8,utf-8
056.ua,UTF-8,utf-8,utf-8
057.ua,UTF-8,utf-8,utf-8
057info.hr,,utf-8,utf-8
061.ua,UTF-8,utf-8,utf-8
1-2-3-ubytovanie.sk,UTF-8,utf-8,utf-8
1-2-do.com,UTF-8,utf-8,utf-8
1-day.co.nz,,utf-8,
1-stop-service-shop.com,utf-8,ascii,ascii
10-4.dk,UTF-8,utf-8,utf-8
1000.menu,utf-8,utf-8,utf-8
1000kitap.com,UTF-8,ascii,utf-8
1000ps.at,utf-8,utf-8,utf-8
1000things.at,UTF-8,utf-8,utf-8
1001eda.com,UTF-8,utf-8,utf-8
1001euro.nl,utf-8,ascii,ascii
1001recepti.com,,windows-1251,windows-1251
100comments.com,UTF-8,utf-8,utf-8
100noticias.com.ni,utf-8,utf-8,utf-8
100posto.hr,,utf-8,utf-8
100proadru.cz,UTF-8,ascii,
100realty.ua,UTF-8,utf-8,utf-8
100skelbimu.lt,UTF-8,utf-8,utf-8
100sp.ru,UTF-8,Windows-1254,utf-8
101.ru,utf-8,utf-8,utf-8
101hotels.com,UTF-8,utf-8,utf-8
102nueve.com,UTF-8,utf-8,utf-8
103.by,utf-8,utf-8,utf-8
1075.fm,UTF-8,ascii,
10best.com,UTF-8,ascii,utf-8
10bis.co.il,utf-8,ascii,utf-8
10dakot.co.il,,Windows-1254,utf-8
10ejemplos.com,UTF-8,utf-8,utf-8
10marifet.org,UTF-8,Windows-1254,utf-8
10minuteschool.com,utf-8,utf-8,utf-8
10steps.org,iso-8859-1,ascii,ascii
10te.bg,UTF-8,utf-8,utf-8
10toptest.nl,UTF-8,utf-8,utf-8
1112.com,UTF-8,utf-8,utf-8
1122.com.uy,UTF-8,utf-8,utf-8
115.ro,utf-8,Windows-1252,
1177.se,utf-8,utf-8,utf-8
118.dk,utf-8,utf-8,latin_1
118.lt,UTF-8,utf-8,utf-8
118000.fr,UTF-8,utf-8,utf-8
118100.se,UTF-8,utf-8,iso8859_14
11811.rs,utf-8,utf-8,utf-8
1182.ee,utf-8,utf-8,utf-8
1182.lv,utf-8,utf-8,utf-8
118700.se,UTF-8,utf-8,utf-8
1188.cz,utf-8,utf-8,utf-8
1188.lv,utf-8,utf-8,cp775
11880.com,utf-8,utf-8,utf-8
11888.gr,utf-8,utf-8,utf-8
1189.lv,UTF-8,utf-8,utf-8
118finder.ee,utf-8,UTF-8-SIG,UTF-8-SIG
1207.be,UTF-8,utf-8,utf-8
123-hd.com,UTF-8,utf-8,utf-8
123comparer.fr,UTF-8,UTF-8-SIG,UTF-8-SIG
123doc.net,UTF-8,utf-8,utf-8
123dok.com,UTF-8,utf-8,utf-8
123dopyt.sk,UTF-8,Windows-1254,utf-8
123hjemmeside.dk,utf-8,utf-8,utf-8
123job.vn,UTF-8,utf-8,utf-8
123mua.com.vn,utf-8,Windows-1254,utf-8
123recht.de,UTF-8,utf-8,utf-8
123requare.com,UTF-8,utf-8,utf-8
123rf.com,utf-8,utf-8,utf-8
123slike.blogspot.com,UTF-8,utf-8,utf-8
1242.com,UTF-8,utf-8,utf-8
13.cl,utf-8,utf-8,utf-8
1307.be,UTF-8,utf-8,utf-8
13news.co.il,UTF-8,utf-8,utf-8
13tv.co.il,UTF-8,utf-8,utf-8
14-tage-wettervorhersage.de,UTF-8,ascii,latin_1
140online.com,utf-8,utf-8,utf-8
14thbrooklyn.org,utf-8,ascii,ascii
1588.lt,UTF-8,utf-8,utf-8
15gram.be,UTF-8,Windows-1252,utf-8
15min.lt,UTF-8,utf-8,utf-8
16100.fi,UTF-8,utf-8,utf-8
16366.ee,UTF-8,utf-8,utf-8
168.hu,UTF-8,utf-8,utf-8
1688.com,,utf-8,utf-8
168chasa.bg,utf-8,utf-8,utf-8
16valvulas.com.ar,UTF-8,utf-8,utf-8
180.com.uy,UTF-8,utf-8,utf-8
180.no,utf-8,ascii,
1815.ch,utf-8,ascii,utf-8
1881.no,utf-8,utf-8,utf-8
1890.no,UTF-8,utf-8,utf-8
18h39.fr,UTF-8,utf-8,utf-8
192.com,UTF-8,ascii,utf-8
19min.bg,,utf-8,utf-8
1a.ee,utf-8,utf-8,utf-8
1a.lt,utf-8,utf-8,utf-8
1a.lv,utf-8,utf-8,utf-8
1asir.com,UTF-8,utf-8,utf-8
1c.ru,UTF-8,utf-8,utf-8
1library.co,UTF-8,utf-8,utf-8
1limburg.nl,utf-8,utf-8,utf-8
1mg.com,utf-8,utf-8,utf-8
1nadan.si,utf-8,utf-8,utf-8
1prime.ru,utf-8,utf-8,utf-8
1sa.com.ua,UTF-8,utf-8,utf-8
1sept.ru,UTF-8,utf-8,utf-8
1slimnica.lv,utf-8,utf-8,cp775
1stcpo.com,utf-8,ascii,ascii
1stdibs.co.uk,utf-8,utf-8,
1tv.ru,utf-8,Windows-1254,utf-8
1ty.vn,UTF-8,utf-8,utf-8
1w.lv,UTF-8,utf-8,utf-8
1zavse.si,utf-8,utf-8,utf-8
20.ua,UTF-8,Windows-1254,utf-8
2020sneakersitalia.it,UTF-8,utf-8,utf-8
20il.co.il,UTF-8,utf-8,utf-8
20min.ch,utf-8,utf-8,utf-8
20minut.ua,UTF-8,utf-8,utf-8
20minutes.fr,UTF-8,utf-8,utf-8
20minutos.com.mx,UTF-8,utf-8,utf-8
20minutos.es,UTF-8,utf-8,utf-8
21.edu.ar,utf-8,utf-8,utf-8
21.tv,us-ascii,ascii,ascii
21vek.by,UTF-8,utf-8,utf-8
220-volt.ru,windows-1251,windows-1251,windows-1251
220.lv,UTF-8,utf-8,utf-8
220stopinjposevno.com,UTF-8,utf-8,utf-8
220volt.hu,UTF-8,UTF-8-SIG,UTF-8-SIG
221616.com,UTF-8,ascii,utf-8
24-horas.mx,,ascii,ascii
24.ae,utf-8,utf-8,
24.hu,UTF-8,utf-8,utf-8
247sports.com,,,utf-8
24baby.nl,UTF-8,utf-8,utf-8
24chasa.bg,utf-8,utf-8,utf-8
24glo.com,,UTF-8-SIG,UTF-8-SIG
24h.com.vn,UTF-8,utf-8,utf-8
24heures.ch,utf-8,utf-8,utf-8
24hod.sk,UTF-8,utf-8,utf-8
24horas.cl,UTF-8,utf-8,utf-8
24hstore.vn,UTF-8,utf-8,utf-8
24kitchen.bg,UTF-8,utf-8,utf-8
24kitchen.com.hr,UTF-8,utf-8,utf-8
24kitchen.nl,UTF-8,utf-8,utf-8
24kitchen.pt,UTF-8,utf-8,utf-8
24kitchen.si,UTF-8,utf-8,utf-8
24plovdiv.bg,utf-8,utf-8,utf-8
24sata.hr,utf-8,utf-8,hp_roman8
24sedam.rs,,utf-8,utf-8
24smi.org,utf-8,utf-8,utf-8
24sports.com.cy,UTF-8,utf-8,utf-8
24tv.ua,utf-8,utf-8,utf-8
24ur.com,,utf-8,utf-8
24zdrave.bg,utf-8,utf-8,utf-8
25u.com,UTF-8,utf-8,utf-8
2all.co.il,utf-8,utf-8,utf-8
2b.com.eg,UTF-8,utf-8,utf-8
2banh.vn,UTF-8,utf-8,utf-8
2ch.sc,shift_jis,SHIFT_JIS,SHIFT_JIS
2dehands.be,utf-8,utf-8,utf-8
2eat.co.il,utf-8,utf-8,utf-8
2ememain.be,utf-8,utf-8,utf-8
2find2.co.il,,utf-8,utf-8
2gis.ae,utf-8,ascii,
2gis.cl,utf-8,utf-8,utf-8
2gis.com.cy,utf-8,utf-8,utf-8
2gis.cz,utf-8,utf-8,utf-8
2gis.ru,utf-8,ascii,ascii
2gis.ua,utf-8,ascii,ascii
2happy.gr,utf-8,utf-8,utf-8
2m.ma,utf-8,utf-8,utf-8
